caption,art_style,painting,emotion,language
Cute looking road in a wooded area with tall trees,Post_Impressionism,gustave-loiseau_by-the-seine-stormy-weather-1912,awe,Burmese
Cute young man in old clothes.,Cubism,jacques-villon_yvonne-d-in-profile-yvonne-d-de-profil-1913,awe,Burmese
This is my cup and my spoon,Cubism,olga-rozanova_still-life-with-peatcher-and-apples,awe,Burmese
 I feel awe of what lies ahead.,Symbolism,nicholas-roerich_tibet-evening-1937,awe,Burmese
This image looks like a painting. The colors are dark. There,Post_Impressionism,paul-cezanne_portrait-of-joachim-1896,excitement,Burmese
This image is very beautiful and interesting and has an artistic style to,Abstract_Expressionism,paul-jenkins_not_detected_235718,excitement,Burmese
The table is made out of red cloth covered with white and blue,Fauvism,andre-derain_still-life-on-the-red-table-1904,awe,Burmese
this looks like the painting from the old days,Cubism,jacques-villon_desserte,excitement,Burmese
"Image of a greenish piece of paper with a red dot,",Abstract_Expressionism,yayoi-kusama_fields-in-spring-1988,excitement,Burmese
"This man looks like he is crying so deeply, sad and alone",Expressionism,theo-van-doesburg_burgerman-1910,sadness,Burmese
shirt is a funny looking man,Expressionism,jury-annenkov_portrait-of-zinoviev-1926,awe,Burmese
$ The person riding the horse has been wounded but still rides the,Romanticism,fyodor-solntsev_st-george,awe,Burmese
"The dark and gloomy setting, and the figure of Jesus hanging",Symbolism,franz-stuck_crucifixion-1913,fear,Burmese
,Impressionism,istvan-nagy_still-life-with-flowers,excitement,Burmese
Browsing$$One man on the street looks sadly like,Expressionism,edvard-munch_children-in-the-street-1915,awe,Burmese
"
A city surrounded by grassland is very interesting to look at",Impressionism,eugene-boudin_the-berck-dunes-1886,awe,Burmese
Clears the screen to show an image,Analytical_Cubism,pablo-picasso_friendship-1908,awe,Burmese
He looks fearful and sad with this expression,Realism,alexey-venetsianov_portrait-of-a-peasant-girl,fear,Burmese
The painting shows how the women would feel when they meet someone special,Ukiyo_e,katsushika-hokusai_nine-women-playing-the-game-of-fox,excitement,Burmese
$ The boy sitting in the room is so sad,Romanticism,konstantin-makovsky_portrait-of-vladimir-makovsky-in-childhood,awe,Burmese
<center><center> فى بداية اللوحة نرى امرأة ترتدي ملابس,Fauvism,august-macke_in-the-temple-hall,awe,Burmese
This is a portrait of a young boy riding a horse on his,Baroque,rembrandt_frederick-rihel-on-horseback-1663,awe,Burmese
Person wearing a hat wearing a fur coat has a confident look,Northern_Renaissance,albrecht-durer_portrait-of-a-man-1,awe,Burmese
"As a rule, you shouldn't use black ink on the ground",Cubism,marc-chagall_red-jew-1915,fear,Burmese
The woman seems sad. She is reading a letter with tears in,Romanticism,miklos-barabas_the-artist-s-wife-1844,excitement,Burmese
Man: Holding a sword over his heart he has taken a vow,Northern_Renaissance,albrecht-durer_portrait-of-captain-felix-hungersperg-kneeling,awe,Burmese
الرجل يرتدي بدلة سوداء وله زوائد فوق يده اليمنى,Post_Impressionism,suzanne-valadon_portrait-of-monsieur-mori-1922,amusement,Burmese
